-DOCSTART- -X- O O
Summary	O

Over	B-EXP
5+yearsof	I-EXP
industrywide	O
experience	O
as	O
a	O
QA	B-HARD SKILL
Automation	I-HARD SKILL
Engineerin	I-HARD SKILL
e	B-HARD SKILL
-	I-HARD SKILL
commerce	I-HARD SKILL
,	O
Banking	B-HARD SKILL
,	O
domain	B-HARD SKILL
.	O
Also	O
have	O
experience	O
in	O
development	O
/	O
programming	O
part	O
of	O
the	O
applications	O
.	O
Has	O
diversified	O
experience	O
in	O
IT	O
,	O
is	O
seeking	B-HARD SKILL
QA	I-HARD SKILL
Tester	I-HARD SKILL
position	I-HARD SKILL
which	O
will	O
utilize	O
and	O
incorporate	O
my	O
current	O
skills	O
and	O
experience	O
,	O
as	O
well	O
as	O
expand	O
them	O
to	O
assist	O
the	O
organization	O
in	O
being	O
successful	O
.	O

Experienced	O
with	O
testing	O
tools	O
such	O
as	O
HP	B-HARD SKILL
Quality	I-HARD SKILL
Center	I-HARD SKILL
,	O
Quick	B-HARD SKILL
Test	I-HARD SKILL
Professional	I-HARD SKILL
(	I-HARD SKILL
QTP	I-HARD SKILL
)	I-HARD SKILL
SOAPUI	B-HARD SKILL
and	O
SQL	B-HARD SKILL
Management	B-HARD SKILL
Studio	I-HARD SKILL
Tool	I-HARD SKILL
2008	I-HARD SKILL

Extensive	O
hands	O
on	O
experience	O
with	O
all	O
levels	O
of	O
testing	O
including	O
Smoke	B-HARD SKILL
testing	I-HARD SKILL
,	O
Functional	B-HARD SKILL
testing	I-HARD SKILL
,	O
Integration	B-HARD SKILL
testing	I-HARD SKILL
,	O
System	B-HARD SKILL
testing	I-HARD SKILL
,	O
Regression	B-HARD SKILL
testing	I-HARD SKILL
and	O
Database	B-HARD SKILL
testing	I-HARD SKILL

Experience	O
in	O
Manual	B-HARD SKILL
and	O
Automation	B-HARD SKILL
testing	I-HARD SKILL
.	O

Extensive	O
experience	O
in	O
Quality	B-DOMAIN
Assurance	I-DOMAIN
using	O
Java	B-HARD SKILL
,	O
Python	B-HARD SKILL
,	O
TestNG	B-HARD SKILL
,	O
Junit	B-HARD SKILL
,	O
